name,type,genre,episodes,popularity,averageScore,rating,animeYear
Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,MOVIE,Comedy,1,1847,75,77,2011
Durarara!! Specials,SPECIAL,"Action,Comedy,Supernatural",2,24772,75,76,2011
Zan Sayonara Zetsubou Sensei Bangaichi,OVA,Comedy,2,7726,75,76,2010
Ie Naki Ko,TV,"Adventure,Drama,Slice of Life",51,3888,75,77,1978
Jigoku Shoujo: Futakomori,TV,"Horror,Psychological,Supernatural",26,17454,75,76,2007
School Rumble,TV,"Comedy,Romance,Slice of Life",26,37932,75,76,2005
Eyeshield 21,TV,"Action,Comedy,Sports",145,21159,75,76,2007
BanG Dream! Girls Band Party!: 5th Anniversary Animation - CiRCLE THANKS PARTY!,SPECIAL,"Music,Slice of Life",2,839,75,80,2022
Ryuu to Sobakasu no Hime,MOVIE,"Drama,Music,Mystery,Sci-Fi",1,29664,75,76,2021
Akudama Drive,TV,"Action,Drama,Sci-Fi,Thriller",12,89378,75,75,2021
Ruru-chan no Jisatsu Haishin,MUSIC,,1,1565,75,78,2020
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV,"Comedy,Slice of Life",12,36445,75,75,2019
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV,"Action,Drama,Fantasy,Mahou Shoujo,Psychological,Slice of Life",6,10483,75,76,2017
Magi: Sinbad no Bouken OVA,OVA,"Action,Adventure,Comedy,Fantasy",5,18271,75,76,2015
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,OVA,"Action,Sports",1,10279,75,76,2014
Gintama: Dai Hanseikai,SPECIAL,"Action,Comedy",1,6130,75,76,2010
Arakawa Under the Bridge x Bridge,TV,"Comedy,Romance",13,23045,75,76,2011
Phantom: Requiem for the Phantom,TV,"Action,Drama,Thriller",26,38373,75,75,2009
Kobato.,TV,"Comedy,Drama,Fantasy,Romance",24,22250,75,76,2010
ef: A Tale of Memories.,TV,"Drama,Mystery,Psychological,Romance",12,33775,75,75,2008
Genshiken 2,TV,"Comedy,Slice of Life",12,10580,75,76,2008
Crayon Shin-chan: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,MOVIE,"Comedy,Slice of Life",1,1972,75,77,2001
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,OVA,"Action,Mecha,Sci-Fi",1,3755,75,77,2006
Bishoujo Senshi Sailor Moon,TV,"Action,Adventure,Fantasy,Mahou Shoujo,Romance",46,61108,75,75,1993
Mousou Dairinin,TV,"Drama,Mystery,Psychological,Supernatural,Thriller",13,68421,75,75,2004
VOY@GER,MOVIE,"Music,Sci-Fi",1,1452,75,79,2021
Isekai Shokudou 2,TV,"Fantasy,Slice of Life",12,14215,75,76,2022
BanG Dream! Garupa☆Pico: Oomori,TV_SHORT,"Comedy,Music",26,3292,75,76,2020
Overlord II,TV,"Action,Adventure,Fantasy",13,138749,75,75,2018
Planetarian: Hoshi no Hito,MOVIE,"Drama,Fantasy,Sci-Fi",1,9270,75,76,2016
Gekkan Shoujo Nozaki-kun Mini OVA,SPECIAL,"Comedy,Romance",6,23263,75,75,2015
Gundam Build Fighters,TV,"Action,Mecha,Sci-Fi",25,12354,75,76,2014
Kuroko no Basket: Tip Off,SPECIAL,"Comedy,Sports",1,16924,75,75,2013
Saint☆Onii-san,MOVIE,"Comedy,Slice of Life,Supernatural",1,18519,75,75,2013
Shijou Saikyou no Deshi Kenichi OVA,OVA,"Action,Comedy",11,6913,75,76,2013
Seitokai Yakuindomo OVA,OVA,"Comedy,Slice of Life",8,20984,75,75,2012
Tenshi no Tamago,OVA,"Drama,Fantasy,Psychological",1,31521,75,75,1986
Sakigake!! Cromartie Koukou,TV_SHORT,Comedy,26,21937,75,75,2004
Bakuten!!,TV,"Comedy,Drama,Sports",12,28999,75,75,2021
Shingeki no Kyojin Season 3 Specials,SPECIAL,"Comedy,Fantasy",4,9141,75,76,2019
Hollowness,MUSIC,,1,2460,75,77,2018
Cider no You ni Kotoba ga Wakiagaru,MOVIE,"Romance,Slice of Life",1,48761,75,75,2021
Tokyo Ghetto,MUSIC,Psychological,1,934,75,80,2018
Hoozuki no Reitetsu 2: Part II,TV,"Comedy,Fantasy,Supernatural",13,4936,75,76,2018
Bishoujo Senshi Sailor Moon: Crystal - Death Busters-hen,TV,"Action,Drama,Fantasy,Mahou Shoujo,Romance",13,9754,75,76,2016
Pocket Monsters XY&Z,TV,"Action,Adventure,Comedy,Fantasy",47,21739,75,75,2016
DRIFTERS,TV,"Action,Adventure,Comedy,Fantasy",12,76099,75,75,2017
Baby Steps,TV,"Romance,Sports",25,22403,75,75,2014
Seitokai Yakuindomo＊,TV,"Comedy,Slice of Life",13,37112,75,75,2014
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,MOVIE,"Comedy,Drama,Romance",1,7103,75,76,2014
Saiunkoku Monogatari 2nd Season,TV,"Adventure,Comedy,Drama,Fantasy,Romance",39,3613,75,77,2008
Hokuto no Ken,TV,"Action,Drama,Sci-Fi",109,19220,75,75,1986
Kidou Senshi Gundam,TV,"Drama,Mecha,Sci-Fi",43,22366,75,75,1980
BanG Dream! Garupa☆Pico Fever!,TV_SHORT,"Comedy,Music",26,1716,75,78,2022
Boku no Hero Academia THE MOVIE: Heroes:Rising - Epilogue Plus: Yume wo Genjitsu ni,SPECIAL,Comedy,1,10320,75,76,2020
Fugou Keiji: Balance:UNLIMITED,TV,"Action,Comedy,Mystery,Sci-Fi",11,106631,75,75,2020
Shingeki no Kyojin Kouhen: Jiyuu no Tsubasa,MOVIE,"Action,Drama,Fantasy",1,17268,75,75,2015
Ao Haru Ride,TV,"Comedy,Drama,Romance,Slice of Life",12,144514,75,75,2014
PSYCHO-PASS Movie,MOVIE,"Action,Sci-Fi",1,43029,75,75,2015
Jormungand,TV,"Action,Adventure",12,48801,75,75,2012
Kokoro Connect,TV,"Drama,Romance,Slice of Life,Supernatural",13,120606,75,75,2012
Lupin III vs. Meitantei Conan,SPECIAL,"Action,Comedy,Mystery",1,5868,75,76,2009
Dragon Ball Kai,TV,"Action,Adventure,Comedy",97,53170,75,75,2010
Lucky☆Star OVA,OVA,"Comedy,Slice of Life",1,19566,75,75,2008
Meitantei Conan: Senritsu no Gakufu (Full Score),MOVIE,Mystery,1,6707,75,76,2008
Kara no Kyoukai: Satsujin Kousatsu (Zen),MOVIE,"Action,Mystery,Romance,Supernatural,Thriller",1,42355,75,75,2008
Giant Robo THE ANIMATION: Chikyuu ga Seishi Suru Hi,OVA,"Action,Mecha,Sci-Fi",7,6386,75,76,1995
Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA,"Action,Comedy,Sports",13,5061,75,76,2007
Hikaru no Go: Hokuto Hai e no Michi,SPECIAL,"Sports,Supernatural",1,2934,75,76,2004
ARIA The ANIMATION,TV,"Fantasy,Sci-Fi,Slice of Life",13,33634,75,75,2006
Kaleido Star,TV,"Comedy,Drama,Fantasy,Sports",51,11076,75,76,2004
Full Moon wo Sagashite,TV,"Comedy,Drama,Mahou Shoujo,Music,Romance,Supernatural",52,12884,75,76,2003
Tokyo Revengers: Chibi Reve,ONA,Comedy,24,5571,75,76,2021
Sword Art Online: Alicization - War of Underworld,TV,"Action,Adventure,Fantasy",12,122322,75,75,2020
Machikado Mazoku,TV,"Comedy,Fantasy,Mahou Shoujo,Slice of Life",12,37007,75,75,2019
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Paladin; Agateram,MOVIE,"Action,Fantasy",1,14562,75,75,2021
Boku no Hero Academia THE MOVIE: Futari no Hero,MOVIE,"Action,Comedy,Drama,Sci-Fi",1,136291,75,75,2018
Karakai Jouzu no Takagi-san,TV,"Comedy,Romance,Slice of Life",12,104029,75,75,2018
Aikatsu! 4,TV,Music,26,1661,75,78,2016
Kill la Kill Tokubetsu-hen,OVA,"Action,Comedy",1,40055,75,75,2014
Shiki Specials,SPECIAL,"Horror,Mystery,Supernatural,Thriller",2,10947,75,75,2011
Saraiya Goyou,TV,"Drama,Mystery",12,16837,75,75,2010
Meitantei Conan: 10 Nengo no Stranger,OVA,"Adventure,Comedy,Mystery",1,2879,75,76,2009
Evangelion Shin Movie: Kyuu,MOVIE,"Action,Drama,Mecha,Psychological,Sci-Fi",1,68062,75,75,2012
Glass no Kamen (2005),TV,Drama,51,5436,75,76,2006
Kidou Senshi Gundam III: Meguriai Sora-hen,MOVIE,"Action,Drama,Mecha,Sci-Fi",1,7046,75,75,1982
Bishoujo Senshi Sailor Moon R,TV,"Action,Fantasy,Mahou Shoujo,Romance",43,21398,75,75,1994
Kareshi Kanojo no Jijou,TV,"Comedy,Drama,Romance,Slice of Life",26,36850,75,75,1999
Yuuseiboushi,MUSIC,"Psychological,Supernatural",1,742,75,80,2021
Heikousen,MUSIC,Slice of Life,1,1707,75,77,2021
PUPARIA,ONA,"Fantasy,Psychological",1,12911,75,75,2020
Kokoro Yohou,MUSIC,"Romance,Slice of Life",1,2244,75,76,2020
Aggressive Retsuko,ONA,"Comedy,Music,Slice of Life",10,39820,75,75,2018
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,MOVIE,"Music,Slice of Life",1,11909,75,75,2019
Yama no Susume: Third Season,TV_SHORT,"Adventure,Comedy,Slice of Life",13,6516,75,76,2018
Princess Principal,TV,"Action,Adventure,Sci-Fi",12,44498,75,75,2017
PriPara 2nd Season,TV,Music,51,1326,75,79,2016
Noragami OVA,OVA,"Action,Adventure,Comedy,Supernatural",2,53194,75,75,2014
Golden Time,TV,"Comedy,Drama,Romance",24,147672,75,75,2014
Berserk: Ougon Jidaihen II - Doldrey Kouryaku,MOVIE,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",1,28856,75,75,2012
Tetsuwan Birdy DECODE:02,TV,"Action,Comedy,Sci-Fi",12,7683,75,75,2009
Tennis no Ouji-sama: Zenkoku Taikai-hen Semifinal,OVA,"Action,Comedy,Sports",6,4454,75,76,2008
Digimon Adventure: Bokura no War Game!,MOVIE,"Adventure,Fantasy,Sci-Fi",1,12481,75,75,2000
Kino no Tabi: Nanika wo Suru Tame ni -life goes on.-,MOVIE,"Adventure,Drama,Fantasy,Slice of Life",1,11212,75,75,2005
Choujikuu Yousai Macross,TV,"Action,Drama,Mecha,Music,Romance,Sci-Fi",36,17931,75,75,1983
Totsukuni no Shoujo (2022),OVA,"Drama,Fantasy,Mystery",1,12918,75,76,2022
MOGU MOGU YUMMY!,MUSIC,,1,924,75,80,2021
Shinkai,MUSIC,Psychological,1,1697,75,77,2021
Heion Sedai no Idaten-tachi,TV,"Action,Adventure,Fantasy",11,33196,75,75,2021
Obenkyou Shitoiteyo,MUSIC,,1,1186,75,79,2020
D4DJ First Mix,TV,"Music,Slice of Life",13,9658,75,75,2021
Cike Wu Liuqi Fanwai,ONA,"Action,Comedy,Mystery",4,4739,75,75,2018
Manga de Wakaru! Fate/Grand Order,SPECIAL,"Comedy,Fantasy,Slice of Life",3,5712,75,75,2019
Sword Art Online: Alicization,TV,"Action,Adventure,Fantasy",24,167662,75,75,2019
Gabriel Dropout Specials,SPECIAL,"Comedy,Supernatural",2,15810,75,75,2017
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV,"Drama,Fantasy,Mystery,Romance,Slice of Life,Supernatural",12,66275,75,75,2017
Flip Flappers,TV,"Action,Adventure,Comedy,Fantasy,Mahou Shoujo,Psychological,Sci-Fi",13,44666,75,75,2017
Charlotte,TV,"Comedy,Drama,Romance,Sci-Fi,Supernatural",13,243442,75,75,2015
Aoki Hagane no Arpeggio: Ars Nova - Cadenza,MOVIE,"Action,Drama,Sci-Fi",1,5603,75,76,2015
Yama no Susume: Second Season,TV_SHORT,"Adventure,Comedy,Slice of Life",24,9103,75,75,2015
Magic Kaito,SPECIAL,Adventure,12,9992,75,75,2012
Colorful,MOVIE,"Drama,Slice of Life,Supernatural",1,34934,75,75,2010
Nodame Cantabile Finale Special,SPECIAL,"Comedy,Music,Romance",1,6508,75,75,2010
Shiki,TV,"Horror,Mystery,Supernatural,Thriller",22,77703,75,75,2011
Toaru Kagaku no Railgun,TV,"Action,Fantasy,Sci-Fi",24,96858,75,75,2010
Seto no Hanayome OVA,OVA,"Comedy,Romance",2,7224,75,75,2009
Black Jack,OVA,"Action,Adventure,Drama,Mystery,Supernatural",10,7105,75,76,1997
Mind Game,MOVIE,"Adventure,Comedy,Psychological,Romance",1,16395,75,75,2004
Innocence,MOVIE,"Action,Psychological,Sci-Fi",1,22347,75,75,2004
Yakitate!! Japan,TV,Comedy,69,12521,75,75,2005
"Lord El-Melloi II-sei no Jikenbo: ""Rail Zeppelin"" Grace note Tokubetsu-hen",SPECIAL,"Drama,Fantasy,Mystery",1,5632,75,76,2022
Semantic Error Special,ONA,"Comedy,Romance",4,2403,75,77,2021
Date A Live IV,TV,"Comedy,Ecchi,Mecha,Romance,Sci-Fi",12,35910,75,75,2022
Seitokai Yakuindomo Movie 2,MOVIE,"Comedy,Slice of Life",1,6127,75,76,2021
Baki: Dai Raitaisai-hen,ONA,"Action,Sports",13,25300,75,75,2020
Ani ni Tsukeru Kusuri wa Nai! 2,ONA,"Comedy,Slice of Life",24,9509,75,75,2019
Thunderbolt Fantasy: Seishi Ikken,MOVIE,"Action,Fantasy",1,1020,75,78,2018
Tsurezure Children,TV_SHORT,"Comedy,Drama,Romance,Slice of Life",12,120293,75,75,2017
Koutetsujou no Kabaneri: Unato Kessen,MOVIE,"Action,Drama,Fantasy,Horror,Supernatural",1,27778,75,75,2019
ACCA: 13-ku Kansatsu-ka,TV,"Drama,Mystery,Slice of Life",12,33862,75,75,2017
One Punch Man OVA,OVA,"Action,Comedy,Sci-Fi,Supernatural",6,48521,75,75,2016
One Punch Man: Road to Hero,OVA,"Action,Comedy,Sci-Fi,Supernatural",1,56568,75,75,2016
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2",TV,"Action,Adventure,Fantasy",12,72179,75,75,2016
New Initial D Movie: Legend 3 - Mugen,MOVIE,"Action,Drama,Sports",1,4943,75,76,2016
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,MOVIE,"Comedy,Slice of Life",1,3172,75,76,2015
Sidonia no Kishi: Daikyuu Wakusei Seneki,TV,"Action,Fantasy,Mecha,Sci-Fi",12,16371,75,75,2015
Hoozuki no Reitetsu OVA,OVA,"Comedy,Fantasy,Supernatural",4,3065,75,76,2016
Non Non Biyori: Okinawa e Ikukoto ni Natta,OVA,"Comedy,Slice of Life",1,14780,75,75,2014
Tamayura: More Aggressive,TV,"Comedy,Slice of Life",12,4850,75,76,2013
Beelzebub,TV,"Action,Comedy,Supernatural",60,65236,75,75,2012
Hourou Musuko,TV,"Drama,Romance,Slice of Life",11,25328,75,75,2011
Terra e... (TV),TV,"Action,Drama,Sci-Fi",24,9661,75,75,2007
Eikoku Koi Monogatari Emma: Molders-hen,TV,"Drama,Romance,Slice of Life",12,3589,75,76,2007
Kidou Keisatsu Patlabor ON TELEVISION,TV,"Comedy,Mecha,Sci-Fi",47,7402,75,76,1990
Marine Shukkou!!,MUSIC,"Action,Adventure,Ecchi,Fantasy",1,694,75,80,2022
Douluo Dalu: Chongfan Haotian,ONA,"Action,Adventure,Fantasy,Romance,Supernatural",13,608,75,82,2021
Shanhe Jian Xin,ONA,"Action,Adventure,Fantasy",16,1638,75,79,2021
Boku no Hero Academia 5,TV,"Action,Adventure,Comedy,Sci-Fi",25,221567,75,75,2021
YELLOW,MUSIC,,1,937,75,79,2018
Tsurune: Kazemai Koukou Kyuudou-bu,TV,"Drama,Slice of Life,Sports",13,33462,75,75,2019
Cardcaptor Sakura: Clear Card-hen - Prologue Sakura to Futatsu no Kuma,OVA,"Adventure,Comedy,Fantasy,Mahou Shoujo,Romance",1,9173,75,75,2017
Love Live! Sunshine!! 2nd Season,TV,"Music,Slice of Life",13,26500,75,75,2018
orange,TV,"Drama,Romance,Supernatural",13,143287,75,75,2016
Udon no Kuni no Kiniro Kemari,TV,"Fantasy,Slice of Life",12,21969,75,75,2017
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,"Drama,Fantasy,Romance",1,13289,75,75,2016
Go! Princess Precure,TV,"Action,Adventure,Fantasy,Mahou Shoujo",50,4345,75,76,2016
Owari no Seraph: Nagoya Kessen-hen,TV,"Action,Drama,Fantasy,Supernatural",12,117226,75,75,2016
Free!: Eternal Summer,TV,"Comedy,Drama,Slice of Life,Sports",13,63172,75,75,2014
Little Busters! EX,SPECIAL,"Comedy,Drama,Romance,Slice of Life,Supernatural",8,10223,75,75,2014
Kami nomi zo Shiru Sekai: Tenri-hen,OVA,"Comedy,Romance,Supernatural",2,22871,75,75,2013
Tasogare Otome x Amnesia,TV,"Horror,Mystery,Romance,Supernatural",12,54728,75,75,2012
"CLANNAD: After Story - Mou Hitotsu no Sekai, Kyou-hen",OVA,"Drama,Romance,Slice of Life",1,37740,75,75,2009
Maria-sama ga Miteru 3rd Season OVA,OVA,"Drama,Slice of Life",5,3072,75,76,2007
City Hunter 3,TV,"Comedy,Mystery",13,3542,75,76,1990
MEMORIES,MOVIE,"Adventure,Comedy,Drama,Horror,Mystery,Psychological,Sci-Fi",3,21914,75,75,1996
Dragon Ball Z: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,SPECIAL,"Action,Adventure,Drama,Fantasy",1,15879,75,75,1993
Digimon Adventure,TV,"Action,Adventure,Fantasy",54,44758,75,75,2000
Unison,MUSIC,Ecchi,1,1273,74,78,2021
Penguin Highway,MOVIE,"Drama,Mystery,Sci-Fi,Slice of Life",1,20997,74,75,2018
FAIRY TAIL (2018),TV,"Action,Adventure,Comedy,Fantasy",51,84085,74,75,2019
Meitantei Conan: Kara Kurenai Love Letter,MOVIE,"Adventure,Comedy,Mystery",1,5231,74,75,2017
IDOLiSH7,TV,"Comedy,Drama,Music,Slice of Life",17,14795,74,75,2018
Meitantei Conan: Gouka no Himawari,MOVIE,"Action,Mystery",1,5828,74,75,2015
NEW GAME!,TV,"Comedy,Slice of Life",12,81805,74,75,2016
Shigatsu wa Kimi no Uso: Moments,OVA,"Music,Slice of Life",1,21191,74,75,2015
Kekkai Sensen,TV,"Action,Comedy,Supernatural",12,134813,74,74,2015
Dragon Ball Kai (2014),TV,"Action,Adventure,Comedy",69,29137,74,75,2015
Hourou Musuko Specials,SPECIAL,"Drama,Slice of Life",2,2544,74,76,2011
Break Blade 4: Sanka no Chi,MOVIE,"Action,Fantasy,Mecha",1,7347,74,75,2010
Macross Frontier: Itsuwari no Utahime,MOVIE,"Action,Mecha,Music,Romance,Sci-Fi",1,5112,74,75,2009
Inazuma Eleven,TV,Sports,127,32529,74,75,2010
Lupin III: Part II,TV,"Adventure,Comedy",155,6840,74,75,1979
Kidou Keisatsu Patlabor: The Movie,MOVIE,"Drama,Mecha,Sci-Fi",1,9385,74,75,1989
Change!! Getter Robo: Sekai Saigo no Hi,OVA,"Action,Adventure,Horror,Mecha,Sci-Fi",13,4103,74,76,1999
Neko no Ongaeshi,MOVIE,"Adventure,Comedy,Drama,Fantasy",1,41610,74,75,2002
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,"Drama,Romance",2,8890,74,75,2002
Yasashii Suisei,MUSIC,"Drama,Psychological",1,1139,74,78,2021
Benghuai 3: Du Chen,ONA,"Action,Fantasy",1,420,74,84,2021
Joshikousei no Mudazukai,TV,"Comedy,Slice of Life",12,26199,74,75,2019
Asobi Asobase Specials,SPECIAL,Comedy,2,9897,74,75,2019
Aikatsu Stars! Hoshi no Tsubasa,TV,Music,50,1291,74,78,2018
Meitantei Conan: Edogawa Conan Shissou Jiken - Shijou Saiaku no Futsukakan,SPECIAL,"Adventure,Comedy,Mystery",1,2606,74,76,2015
Pocket Monsters: THE ORIGIN,SPECIAL,"Action,Adventure,Fantasy",4,36115,74,74,2013
Kyoukai no Kanata,TV,"Action,Drama,Fantasy,Slice of Life,Supernatural",12,176956,74,74,2014
Panty & Stocking with Garterbelt,TV,"Action,Comedy,Ecchi,Supernatural",13,56479,74,74,2011
Working!!,TV,"Comedy,Slice of Life",13,62817,74,74,2010
Hayate no Gotoku!!,TV,"Action,Comedy,Romance",25,14296,74,75,2009
Meitantei Conan: Suihei Senjou no Sutoratejii,MOVIE,"Adventure,Comedy,Mystery",1,6750,74,75,2005
Digimon Tamers,TV,"Adventure,Drama,Fantasy",51,24424,74,74,2002
Tennis no Ouji-sama,TV,"Action,Comedy,Sports",178,21581,74,75,2003
MILGRAM,MUSIC,Psychological,11,1287,74,82,2021
Xian Wang De Richang Shenghuo 2,ONA,"Action,Comedy,Fantasy",12,18989,74,75,2022
Dou Po Cangqiong 4,ONA,"Action,Adventure,Fantasy,Mystery,Romance",24,628,74,81,2021
Hakumei no Tsubasa,ONA,"Adventure,Drama,Fantasy,Slice of Life",7,8076,74,75,2020
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,MOVIE,Mahou Shoujo,1,1338,74,77,2019
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,"Action,Adventure,Comedy,Fantasy,Slice of Life",12,89025,74,74,2020
Princess Principal: Crown Handler - Chapter 1,MOVIE,"Action,Adventure,Sci-Fi",1,11164,74,75,2021
Fune wo Amu,TV,"Drama,Romance,Slice of Life",11,24362,74,74,2017
Minami-ke: Tadaima,TV,"Comedy,Slice of Life",13,9866,74,75,2013
Break Blade 5: Shisen no Hate,MOVIE,"Action,Fantasy,Mecha",1,7162,74,75,2011
Final Fantasy VII: Advent Children Complete,MOVIE,"Action,Fantasy",1,11880,74,74,2009
Soukou Kihei Votoms,TV,"Action,Drama,Mecha,Mystery,Romance,Sci-Fi",52,5770,74,76,1984
Meitantei Conan: Meikyuu no Crossroad,MOVIE,"Adventure,Mystery",1,7076,74,75,2003
Imaizumin-chi wa Douyara Gal no Tamariba ni Natteru Rashii,OVA,Hentai,2,3261,74,75,2021
BanG Dream! Episode of Roselia I: Yakusoku,MOVIE,Music,1,2452,74,77,2021
Tensei Shitara Slime Datta Ken: Tensura Nikki,TV,"Adventure,Comedy,Fantasy,Slice of Life",12,52146,74,74,2021
Totsukuni no Shoujo,OVA,"Fantasy,Mystery",1,14553,74,75,2019
Yuru Camp△ OVA,OVA,"Comedy,Slice of Life",3,14982,74,74,2018
Koyomimonogatari,ONA,"Comedy,Mystery,Supernatural",12,55552,74,74,2016
Yowamushi Pedal: NEW GENERATION,TV,"Drama,Sports",25,11922,74,74,2017
Bokura wa Minna Kawaisou,TV,"Comedy,Romance,Slice of Life",12,52503,74,74,2014
Takarajima,TV,"Adventure,Drama,Mystery",26,4273,74,76,1979
Lucky☆Star,TV,"Comedy,Slice of Life",24,86231,74,74,2007
City Hunter '91,TV,"Action,Comedy,Mystery",13,3286,74,76,1991
Seikai no Senki II,TV,"Action,Romance,Sci-Fi",10,3430,74,75,2001
Ranma 1/2,TV,"Action,Comedy,Ecchi,Romance,Slice of Life",18,30063,74,74,1989
Fruits Basket,TV,"Comedy,Drama,Romance,Slice of Life,Supernatural",26,62066,74,74,2002
Boku no Hero Academia THE MOVIE: World Heroes' Mission - Tabidachi,OVA,"Action,Comedy",1,5827,74,76,2022
Gokushufudou Part 2,ONA,"Comedy,Slice of Life",5,24714,74,74,2021
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,OVA,Fantasy,3,12512,74,78,2022
Princess Principal: Crown Handler - Chapter 2,MOVIE,"Action,Adventure,Sci-Fi",1,3380,74,78,2021
Kami no Tou: Tower of God,TV,"Action,Adventure,Drama,Fantasy,Mystery",13,177855,74,74,2020
Love Live! Nijigasaki Gakuen School Idol Doukoukai,TV,"Music,Slice of Life",13,19606,74,74,2021
Majo no Tabitabi,TV,"Adventure,Fantasy,Slice of Life",12,78280,74,74,2021
Ani ni Tsukeru Kusuri wa Nai! 3,ONA,"Comedy,Slice of Life",12,7096,74,75,2019
Free!: Dive to the Future Episode 0: Soushun no Build-up!,OVA,"Slice of Life,Sports",1,5903,74,75,2018
BanG Dream! 2nd Season,TV,"Comedy,Drama,Music,Slice of Life",13,12146,74,74,2019
Nanatsu no Taizai: Imashime no Fukkatsu,TV,"Action,Adventure,Comedy,Ecchi,Fantasy,Supernatural",24,178186,74,74,2018
Free!: Timeless Medley - Yakusoku,MOVIE,"Slice of Life,Sports",1,8451,74,75,2017
Demi-chan wa Kataritai,TV,"Comedy,Slice of Life,Supernatural",12,68001,74,74,2017
Kyoukai no Kanata: I'LL BE HERE - Kako-hen,MOVIE,"Drama,Fantasy,Slice of Life,Supernatural",1,26420,74,74,2015
Shingeki no Kyojin Zenpen: Guren no Yumiya,MOVIE,"Action,Drama,Fantasy",1,17152,74,74,2014
Meitantei Conan: 11 Nin-me no Striker,MOVIE,"Adventure,Comedy,Mystery",1,6462,74,75,2012
THE IDOLM@STER,TV,"Comedy,Drama,Music,Slice of Life",25,30577,74,74,2012
Kami nomi zo Shiru Sekai,TV,"Comedy,Romance,Supernatural",12,85592,74,74,2011
Yumeiro Pâtissière,TV,"Comedy,Fantasy",50,9700,74,75,2010
Higashi no Eden,TV,"Drama,Mystery,Psychological,Romance,Sci-Fi,Thriller",11,72223,74,74,2009
Maria-sama ga Miteru 4th Season,TV,"Drama,Slice of Life",13,3047,74,75,2009
Slayers TRY,TV,"Adventure,Comedy,Fantasy",26,5927,74,75,1997
Musekinin Kanchou Tylor,TV,"Adventure,Comedy,Sci-Fi",26,8970,74,75,1993
Inuyasha: Tenka Hadou no Ken,MOVIE,"Adventure,Comedy,Drama,Fantasy",1,10772,74,74,2004
Seihou Bukyou Outlaw Star,TV,"Action,Adventure,Comedy,Sci-Fi",24,20295,74,74,1998
Wolf's Rain,TV,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",26,35553,74,74,2003
Last Exile,TV,"Action,Adventure,Sci-Fi",26,20853,74,74,2003
Shinigami Bocchan to Kuro Maid,TV,"Comedy,Drama,Romance,Supernatural",12,37859,74,74,2021
SSSS.DYNAZENON,TV,"Action,Mecha,Sci-Fi",12,28728,74,74,2021
Asobi Asobase OVA,OVA,"Comedy,Slice of Life",1,11144,74,74,2019
Diamond no Ace Second Season OVA,OVA,"Comedy,Sports",2,2963,74,76,2016
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,SPECIAL,Supernatural,1,11368,74,74,2015
Gakkou Gurashi!,TV,"Horror,Mystery,Psychological,Slice of Life,Supernatural",12,80378,74,74,2015
Shingeki no Bahamut: GENESIS,TV,"Action,Adventure,Fantasy,Supernatural",12,58734,74,74,2015
THE IDOLM＠STER MOVIE: Kagayaki no Mukougawa e!,MOVIE,"Comedy,Music,Slice of Life",1,6538,74,74,2014
K: Missing Kings,MOVIE,"Action,Supernatural",1,36925,74,74,2014
Snow Halation,MUSIC,,1,5897,74,75,2011
Tegami Bachi Reverse,TV,"Adventure,Fantasy,Supernatural",25,7509,74,75,2011
Kobayashi-san Chi no Maidragon S: Mini Dra,ONA,"Comedy,Slice of Life",16,16105,74,74,2021
Major 2nd Season 2,TV,"Comedy,Drama,Sports",25,4213,74,75,2020
Kono Sekai no (Sara ni Ikutsumono) Katasumi ni,MOVIE,"Drama,Slice of Life",1,2349,74,81,2020
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,"Action,Adventure,Comedy,Fantasy,Romance",12,102427,74,74,2021
Radiant 2,TV,"Action,Adventure,Comedy,Fantasy",21,19019,74,74,2020
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,TV,"Comedy,Fantasy,Romance,Slice of Life",12,81226,74,74,2020
