name,type,genre,episodes,popularity,averageScore,rating,animeYear
Ousama Ranking,TV,"Action,Adventure,Drama,Fantasy",23,90882,85,85,2022
Ping Pong THE ANIMATION,TV,"Drama,Psychological,Sports",11,73738,85,85,2014
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",MOVIE,"Action,Drama,Mecha,Psychological,Sci-Fi",1,133134,85,85,1997
Tian Guan Ci Fu Special,ONA,"Drama,Fantasy,Romance",1,9292,85,86,2021
Made in Abyss,TV,"Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi",13,214559,85,85,2017
Kizumonogatari II: Nekketsu-hen,MOVIE,"Action,Drama,Ecchi,Mystery,Psychological,Supernatural",1,86841,85,85,2016
Natsume Yuujinchou Shi,TV,"Drama,Fantasy,Slice of Life,Supernatural",13,31470,85,85,2012
Violet Evergarden,TV,"Drama,Fantasy,Slice of Life",13,307365,85,85,2018
Fate/Zero 2nd Season,TV,"Action,Drama,Fantasy,Supernatural",12,152909,85,85,2012
Natsume Yuujinchou Roku,TV,"Drama,Fantasy,Slice of Life,Supernatural",11,24416,85,85,2017
Yojouhan Shinwa Taikei,TV,"Comedy,Mystery,Psychological,Romance",11,88733,85,85,2010
Gintama,TV,"Action,Comedy,Drama,Sci-Fi",201,167674,85,85,2008
Mushishi,TV,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",26,110558,85,85,2006
PERFECT BLUE,MOVIE,"Drama,Horror,Psychological,Thriller",1,114589,85,85,1998
Hajime no Ippo: New Challenger,TV,"Comedy,Drama,Sports",26,29573,85,85,2009
Fruits Basket: prelude,MOVIE,"Drama,Romance",1,16207,85,86,2022
Tengen Toppa Gurren Lagann,TV,"Action,Comedy,Drama,Mecha,Romance,Sci-Fi",27,209072,85,85,2007
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,"Action,Drama,Romance",4,30111,85,85,1999
Chihayafuru 3,TV,"Drama,Romance,Slice of Life,Sports",24,27197,84,85,2020
Fate/stay night [Heaven's Feel] II. lost butterfly,MOVIE,"Action,Fantasy,Psychological,Romance,Supernatural",1,72049,84,84,2019
Owarimonogatari,TV,"Drama,Mystery,Psychological,Supernatural",12,83851,84,84,2016
NANA,TV,"Comedy,Drama,Music,Romance,Slice of Life",47,95635,84,85,2007
Mononoke-hime,MOVIE,"Action,Adventure,Drama,Fantasy",1,159760,84,84,1997
Yuru Camp△ SEASON 2,TV,"Comedy,Slice of Life",13,44989,84,84,2021
JoJo no Kimyou na Bouken: Ougon no Kaze,TV,"Action,Adventure,Drama,Mystery,Supernatural",39,164417,84,84,2019
Kimetsu no Yaiba,TV,"Action,Adventure,Drama,Fantasy,Supernatural",26,532691,84,84,2019
Yakusoku no Neverland,TV,"Drama,Fantasy,Horror,Mystery,Psychological,Thriller",12,389027,84,84,2019
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,"Action,Adventure,Drama,Mystery,Supernatural",39,173158,84,84,2017
Shingeki no Kyojin 2,TV,"Action,Drama,Fantasy,Mystery",12,415188,84,84,2017
Code Geass: Hangyaku no Lelouch,TV,"Action,Drama,Mecha,Sci-Fi,Thriller",25,270416,84,84,2007
Howl no Ugoku Shiro,MOVIE,"Adventure,Drama,Fantasy,Romance",1,179048,84,84,2004
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,"Action,Adventure,Drama,Fantasy,Psychological,Romance,Thriller",12,142548,84,84,2021
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,MOVIE,"Drama,Psychological,Romance,Supernatural",1,138594,84,84,2019
BANANA FISH,TV,"Action,Adventure,Drama,Psychological,Thriller",24,193551,84,84,2019
Shouwa Genroku Rakugo Shinjuu,TV,Drama,13,54854,84,84,2016
GTO,TV,"Comedy,Drama,Slice of Life",43,91383,84,84,2000
Sora yori mo Tooi Basho,TV,"Adventure,Comedy,Drama",13,103463,84,84,2018
Shingeki no Kyojin,TV,"Action,Drama,Fantasy,Mystery",25,581697,84,84,2013
Mob Psycho 100,TV,"Action,Comedy,Psychological,Slice of Life,Supernatural",12,336141,84,84,2016
Kotarou wa Hitorigurashi,ONA,"Comedy,Drama,Slice of Life",10,19348,84,84,2022
Tian Guan Ci Fu,ONA,"Adventure,Drama,Fantasy,Romance",11,26827,84,84,2021
Kimi no Suizou wo Tabetai,MOVIE,"Drama,Romance,Slice of Life",1,182253,84,84,2018
Mushishi Zoku Shou: Suzu no Shizuku,MOVIE,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",1,19962,84,84,2015
Natsume Yuujinchou San,TV,"Drama,Fantasy,Slice of Life,Supernatural",13,31224,84,84,2011
Zoku Owarimonogatari,OVA,"Drama,Mystery,Supernatural",6,53111,84,84,2019
Saiki Kusuo no Ψ-nan 2,TV,"Comedy,Slice of Life,Supernatural",24,104761,84,84,2018
Natsume Yuujinchou Go,TV,"Drama,Fantasy,Slice of Life,Supernatural",11,24027,84,84,2017
Shigatsu wa Kimi no Uso,TV,"Drama,Music,Romance,Slice of Life",22,358021,84,84,2015
Hajime no Ippo: Rising,TV,"Comedy,Drama,Sports",25,28563,84,84,2014
Kara no Kyoukai: Mujun Rasen,MOVIE,"Action,Drama,Mystery,Romance,Supernatural,Thriller",1,39404,84,84,2008
DEATH NOTE,TV,"Mystery,Psychological,Supernatural,Thriller",37,528286,84,84,2007
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,"Action,Mystery,Psychological,Sci-Fi",26,27402,84,84,2005
Ansatsu Kyoushitsu 2,TV,"Action,Comedy,Drama,Supernatural",25,210666,84,84,2016
Ookami Kodomo no Ame to Yuki,MOVIE,"Drama,Fantasy,Romance,Slice of Life",1,121390,84,84,2012
Tengen Toppa Gurren Lagann: Lagann-hen,MOVIE,"Action,Mecha,Sci-Fi",1,29241,84,84,2009
Haikyuu!!,TV,"Comedy,Drama,Sports",25,348657,84,84,2014
Wu Liuqi: Xuanwu Guo Pian,ONA,"Action,Comedy",10,7846,84,84,2021
Bakuman. 3,TV,"Comedy,Drama,Romance,Slice of Life",25,40135,84,84,2013
Samurai Champloo,TV,"Action,Adventure,Comedy",26,155388,84,84,2005
Haikyuu!! TO THE TOP,TV,"Comedy,Drama,Sports",13,177494,83,83,2020
Modao Zushi 2,ONA,"Action,Adventure,Drama,Fantasy,Mystery,Supernatural",8,17089,83,84,2019
Karakai Jouzu no Takagi-san 3,TV,"Comedy,Romance,Slice of Life",12,26009,83,84,2022
Golden Kamuy 3,TV,"Action,Adventure,Comedy",12,25712,83,84,2021
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,MOVIE,"Drama,Fantasy,Slice of Life",1,72158,83,83,2019
Tensei Shitara Slime Datta Ken 2nd Season,TV,"Action,Adventure,Comedy,Fantasy",12,150558,83,83,2021
Given,TV,"Drama,Music,Romance,Slice of Life",11,132736,83,83,2019
Steins;Gate 0,TV,"Drama,Sci-Fi,Thriller",23,129919,83,83,2018
